step 0,train_accuracy= 0.06
step 100,train_accuracy= 0.88
step 200,train_accuracy= 0.86
step 300,train_accuracy= 0.92
step 400,train_accuracy= 0.92
step 500,train_accuracy= 0.88
step 600,train_accuracy= 0.84
step 700,train_accuracy= 0.9
step 800,train_accuracy= 0.84
step 900,train_accuracy= 0.94
step 1000,train_accuracy= 0.94
step 1100,train_accuracy= 0.98
step 1200,train_accuracy= 0.94
step 1300,train_accuracy= 0.94
step 1400,train_accuracy= 0.96
step 1500,train_accuracy= 0.82
step 1600,train_accuracy= 0.9
step 1700,train_accuracy= 0.92
step 1800,train_accuracy= 0.94
step 1900,train_accuracy= 0.94
step 2000,train_accuracy= 0.94
step 2100,train_accuracy= 0.96
step 2200,train_accuracy= 0.94
step 2300,train_accuracy= 0.86
step 2400,train_accuracy= 0.9
step 2500,train_accuracy= 1
step 2600,train_accuracy= 0.96
step 2700,train_accuracy= 0.96
step 2800,train_accuracy= 0.96
step 2900,train_accuracy= 0.98
step 3000,train_accuracy= 0.96
step 3100,train_accuracy= 0.92
step 3200,train_accuracy= 0.92
step 3300,train_accuracy= 0.9
step 3400,train_accuracy= 1
step 3500,train_accuracy= 0.92
step 3600,train_accuracy= 0.94
step 3700,train_accuracy= 0.98
step 3800,train_accuracy= 0.98
step 3900,train_accuracy= 1
step 4000,train_accuracy= 0.96
step 4100,train_accuracy= 1
step 4200,train_accuracy= 0.94
step 4300,train_accuracy= 0.98
step 4400,train_accuracy= 0.96
step 4500,train_accuracy= 1
step 4600,train_accuracy= 0.98
step 4700,train_accuracy= 0.96
step 4800,train_accuracy= 0.94
step 4900,train_accuracy= 0.9
step 5000,train_accuracy= 0.98
step 5100,train_accuracy= 1
step 5200,train_accuracy= 1
step 5300,train_accuracy= 0.98
step 5400,train_accuracy= 1
step 5500,train_accuracy= 0.96
step 5600,train_accuracy= 0.96
step 5700,train_accuracy= 0.96
step 5800,train_accuracy= 0.98
step 5900,train_accuracy= 0.94
step 6000,train_accuracy= 0.94
step 6100,train_accuracy= 1
step 6200,train_accuracy= 0.94
step 6300,train_accuracy= 0.98
step 6400,train_accuracy= 0.96
step 6500,train_accuracy= 0.92
step 6600,train_accuracy= 0.98
step 6700,train_accuracy= 0.94
step 6800,train_accuracy= 0.96
step 6900,train_accuracy= 1
step 7000,train_accuracy= 0.98
step 7100,train_accuracy= 1
step 7200,train_accuracy= 0.98
step 7300,train_accuracy= 0.98
step 7400,train_accuracy= 1
step 7500,train_accuracy= 1
step 7600,train_accuracy= 0.96
step 7700,train_accuracy= 0.98
step 7800,train_accuracy= 0.96
step 7900,train_accuracy= 0.92
step 8000,train_accuracy= 1
step 8100,train_accuracy= 0.98
step 8200,train_accuracy= 1
step 8300,train_accuracy= 0.98
step 8400,train_accuracy= 1
step 8500,train_accuracy= 0.98
step 8600,train_accuracy= 0.96
step 8700,train_accuracy= 1
step 8800,train_accuracy= 0.98
step 8900,train_accuracy= 0.98
step 9000,train_accuracy= 0.94
step 9100,train_accuracy= 0.94
step 9200,train_accuracy= 1
step 9300,train_accuracy= 1
step 9400,train_accuracy= 0.98
step 9500,train_accuracy= 0.98
step 9600,train_accuracy= 1
step 9700,train_accuracy= 0.98
step 9800,train_accuracy= 0.98
step 9900,train_accuracy= 1
step 10000,train_accuracy= 1
step 10100,train_accuracy= 0.98
step 10200,train_accuracy= 0.96
step 10300,train_accuracy= 1
step 10400,train_accuracy= 0.98
step 10500,train_accuracy= 1
step 10600,train_accuracy= 1
step 10700,train_accuracy= 1
step 10800,train_accuracy= 0.94
step 10900,train_accuracy= 1
step 11000,train_accuracy= 0.98
step 11100,train_accuracy= 0.94
step 11200,train_accuracy= 1
step 11300,train_accuracy= 0.98
step 11400,train_accuracy= 1
step 11500,train_accuracy= 0.98
step 11600,train_accuracy= 1
step 11700,train_accuracy= 1
step 11800,train_accuracy= 0.98
step 11900,train_accuracy= 0.94
step 12000,train_accuracy= 1
step 12100,train_accuracy= 1
step 12200,train_accuracy= 1
step 12300,train_accuracy= 0.98
step 12400,train_accuracy= 0.98
step 12500,train_accuracy= 1
step 12600,train_accuracy= 0.98
step 12700,train_accuracy= 0.98
step 12800,train_accuracy= 1
step 12900,train_accuracy= 1
step 13000,train_accuracy= 0.98
step 13100,train_accuracy= 1
step 13200,train_accuracy= 1
step 13300,train_accuracy= 1
step 13400,train_accuracy= 1
step 13500,train_accuracy= 0.98
step 13600,train_accuracy= 0.98
step 13700,train_accuracy= 1
step 13800,train_accuracy= 0.98
step 13900,train_accuracy= 0.98
step 14000,train_accuracy= 1
step 14100,train_accuracy= 1
step 14200,train_accuracy= 0.98
step 14300,train_accuracy= 0.96
step 14400,train_accuracy= 1
step 14500,train_accuracy= 0.98
step 14600,train_accuracy= 0.98
step 14700,train_accuracy= 0.98
step 14800,train_accuracy= 1
step 14900,train_accuracy= 1
step 15000,train_accuracy= 1
step 15100,train_accuracy= 1
step 15200,train_accuracy= 0.98
step 15300,train_accuracy= 0.94
step 15400,train_accuracy= 1
step 15500,train_accuracy= 1
step 15600,train_accuracy= 1
step 15700,train_accuracy= 1
step 15800,train_accuracy= 0.98
step 15900,train_accuracy= 1
step 16000,train_accuracy= 1
step 16100,train_accuracy= 0.98
step 16200,train_accuracy= 1
step 16300,train_accuracy= 1
step 16400,train_accuracy= 1
step 16500,train_accuracy= 0.98
step 16600,train_accuracy= 1
step 16700,train_accuracy= 1
step 16800,train_accuracy= 0.98
step 16900,train_accuracy= 0.98
step 17000,train_accuracy= 0.98
step 17100,train_accuracy= 1
step 17200,train_accuracy= 1
step 17300,train_accuracy= 1
step 17400,train_accuracy= 1
step 17500,train_accuracy= 0.94
step 17600,train_accuracy= 1
step 17700,train_accuracy= 1
step 17800,train_accuracy= 1
step 17900,train_accuracy= 1
step 18000,train_accuracy= 0.98
step 18100,train_accuracy= 1
step 18200,train_accuracy= 0.98
step 18300,train_accuracy= 1
step 18400,train_accuracy= 1
step 18500,train_accuracy= 1
step 18600,train_accuracy= 0.98
step 18700,train_accuracy= 1
step 18800,train_accuracy= 1
step 18900,train_accuracy= 0.98
step 19000,train_accuracy= 1
step 19100,train_accuracy= 1
step 19200,train_accuracy= 1
step 19300,train_accuracy= 0.98
step 19400,train_accuracy= 0.98
step 19500,train_accuracy= 0.98
step 19600,train_accuracy= 0.96
step 19700,train_accuracy= 1
step 19800,train_accuracy= 1
step 19900,train_accuracy= 1
